governorID,name,Alliance,power,killpoints,highestPower,deads,t1_kills,t1_KP,t2_kills,t2_KP,t3_kills,t3_KP,t4_kills,t4_KP,t5_kills,t5_KP
147011210,Yushikiro,[G$52]The Goon Squad,"37,777,127","172,051,440","38,631,506","3,493,846","7,003,984","1,400,796","2,932,250","5,864,500","4,852,906","19,411,624","10,437,972","104,379,720","2,049,740","40,994,800"
129770213,sambalgoreng,[NEP]NobEmpire,"37,570,341","16,907,754","37,573,325","2,746,492","437,141","87,428","1,878,989","3,757,978","553,382","2,213,528","748,326","7,483,260","168,278","3,365,560"
71502542,“ KinG,[57Tp]Tolla Prime,"37,410,676","38,154,609","37,870,712","3,655,601","149,458","29,891","34,361","68,722","24,309","97,236","1,841,314","18,413,140","977,281","19,545,620"
167779887,sEKenzo89,[DoS]Dawn of Spartans,"37,454,723","48,516,311","38,408,395","251,108","60,345","12,069","107,460","214,920","176,338","705,352","3,490,713","34,907,130","633,842","12,676,840"
64110544,kranthi Kumar 2,[DoS]Dawn of Spartans,"36,524,128","10,654,341","36,923,244","2,766,432","12,809","2,561",615,"1,230","4,045","16,180","554,321","5,543,210","254,558","5,091,160"
65614008,K Handini F,[DoS]Dawn of Spartans,"36,430,177","17,905,957","39,354,837","3,962,006","138,868","27,773","13,135","26,270","116,686","66,744","399,021","3,990,210","689,748","13,794,960"
158145098,Nintendo bro,[DoS]Dawn of Spartans,"36,140,994","12,427,335","36,140,994","513,713","14,077","2,815","2,090",,"10,625","42,500","802,303","8,023,030","217,845","4,356,900"
411278,LORDdark,[NEP]NobEmpire,"35,478,387","797,967","35,478,387","89,826","43,586","8,717","26,852","53,704","153,674","214,696","52,085","520,850",0,0
158308009,EKB96,[NEP]NobEmpire,"34,639,440","17,378,693","34,645,864","1,316,758","56,008","11,201","137,015","274,030","137,503","550,012","1,369,845","13,698,450","142,250","2,845,000"
152305300,KOSANTO,[DoS]Dawn of Spartans,"36,005,852","62,811,364","37,500,707","4,789,670","544,603","108,920","971,610","1,943,220","212,871","851,484","1,455,492","14,554,920","2,267,641","45,352,820"
85878121,TheGamerAlt,[DoS]Dawn of Spartans,"32,818,011","25,592,344","35,137,331","800,904","15,013","3,002","15,287","30,574","7,522","30,088","1,055,620","10,556,200","748,624","14,972,480"
20613857,LittleYakshaa,[DoS]Dawn of Spartans,"32,761,107","3,951,737","32,762,787","1,446,206","90,405","18,081","49,902","99,804",468,"13,872","216,374","2,163,740","82,812","1,656,240"
159898860,Yarik flint,,"31,624,989","10,458,575","31,624,989","1,297,427","137,737","27,547","560,261","1,120,522","962,244","3,848,976","521,907","5,219,070","12,123","242,460"
85473512,boU-,[LiO~]Lions Order,"31,006,359","2,514,744","31,006,359","2,640,454","35,644","7,128","66,442","132,884","1,283","5,132","83,328","833,280","76,816","1,536,320"
738503,RUNGSAK 2,[DoS]Dawn of Spartans,"30,346,639","3,999,230","34,798,621","383,376","18,913","3,782","41,353","82,706","17,688","70,752","233,153","2,331,530","75,523","1,510,460"
118554849,Jesuswasbuff,,"29,736,280","6,563,860","39,864,835","2,633,246","1,151",230,619,"1,238",48,192,"260,076","2,600,760","198,072","3,961,440"
162639872,isShymmi,[DoS]Dawn of Spartans,"29,610,507","25,062,184","29,972,731","3,404,705","904,933","180,986","797,384","1,594,768","520,445","2,081,780","1,217,071","12,170,710","451,697","9,033,940"
174414728,Dk WiseVVV,[DoS]Dawn of Spartans,"29,530,489","4,425,573","29,530,489","1,313,473","1,407",281,"28,685","57,370","14,443","57,772","213,015","2,130,150","109,000","2,180,000"
