governorID,name,Alliance,power,killpoints,highestPower,deads,t1_kills,t1_KP,t2_kills,t2_KP,t3_kills,t3_KP,t4_kills,t4_KP,t5_kills,t5_KP
13830376,Malin Gincur,[DoS]Dawn of Spartans,"118,693,761","2,250,763,075","118,704,031","20,701,179","1,400,137","280,027","1,347,721","2,695,442","384,689","13,538,756","70,819,147","708,191,470","76,302,869","1,526,057,380"
61455161,MIIGS,[DoS]Dawn of Spartans,"99,668,069","4,588,586,974","99,668,729","17,908,808","21,138,320","4,227,664","5,236,599","10,473,198","12,571,473","50,285,892","177,256,982","1,772,569,820","137,551,520","2,751,030,400"
25802454,kranthi Kumar,[DoS]Dawn of Spartans,"97,728,361","1,510,142,049","102,591,207","22,347,423","164,566,995","32,913,399","804,166","1,608,332","886,887","3,547,548","82,056,723","820,567,230","32,575,277","651,505,540"
26527241,3RY KAROL,[DoS]Dawn of Spartans,"95,733,818","2,379,536,148","96,317,962","16,093,131","112,416,254","22,483,250","2,190,986","4,381,972","282,354","13,129,416","84,749,157","847,491,570","74,602,497","1,492,049,940"
398638,NAELOR,[DoS]Dawn of Spartans,"94,518,559","2,454,099,339","94,518,559","20,117,169","1,543,766","308,753","2,361,613","4,723,226","4,278,460","17,113,840","82,804,330","828,043,300","80,195,511","1,603,910,220"
374116,Leo,[DoS]Dawn of Spartans,"91,955,683","1,917,240,706","95,763,786","10,052,723","11,136,422","2,227,284","1,546,790","3,093,580","2,617,653","10,470,612","79,930,013","799,300,130","55,107,455","1,102,149,100"
381577,Aleksandr1981,[NEP]NobEmpire,"91,269,477","1,028,858,116","94,640,803","16,077,836","146,401,113","29,280,222","1,543,751","3,087,502","1,447,283","5,789,132","35,676,112","356,761,120","31,697,007","633,940,140"
29549806,CHINTu,[DoS]Dawn of Spartans,"90,445,693","999,129,935","99,689,166","21,718,617","140,870,276","28,174,055","859,925","1,719,850","274,190","1,096,760","55,636,437","556,364,370","20,588,745","411,774,900"
41855002,DANCE OF DEATH,[DoS]Dawn of Spartans,"87,990,503","1,208,192,857","88,235,320","10,934,686","16,456,767","3,291,353","9,208,684","18,417,368","006,819","12,027,276","46,970,044","469,700,440","35,237,821","704,756,420"
74567810,Himut,[DoS]Dawn of Spartans,"87,940,578","2,353,843,303","94,339,582","15,677,140","33,095,995","6,619,199","2,791,210","5,582,420","2,320,166","9,280,664","81,893,912","818,939,120","75,671,095","1,513,421,900"
61348805,Frank White,[DoS]Dawn of Spartans,"87,906,176","1,183,291,691","93,200,220","15,909,090","3,378,167","675,633","2,624,109","5,248,218","2,526,590","10,106,360","43,558,666","435,586,660","36,583,741","731,674,820"
63129483,K Handini,[DoS]Dawn of Spartans,"86,775,998","457,169,693","88,704,382","16,060,894","51,801,105","10,360,221","1,591,089","3,182,178","2,445,736","9,782,944","19,687,035","196,870,350","11,848,700","236,974,000"
63129483,K Handini,[DoS]Dawn of Spartans,"86,775,998","457,169,693","88,704,382","16,060,894","51,801,105","10,360,221","1,591,089","3,182,178","2,445,736","9,782,944","19,687,035","196,870,350","11,848,700","236,974,000"
5850663,TORISs,[DoS]Dawn of Spartans,"86,710,996","534,288,913","88,289,913","14,260,771","1,729,717","345,943","876,223","1,752,446","1,104,546","4,418,184","16,425,442","164,254,420","18,175,896","363,517,920"
47606843,SlimShadyyy,,"82,632,024","2,139,216,983","83,481,247","15,284,899","89,464,519","17,892,903","6,295,543","12,591,086","194,831","32,779,324","116,675,337","1,166,753,370","45,460,015","909,200,300"
62201754,SKILL ULGY2,[DoS]Dawn of Spartans,"82,185,245","2,090,561,465","82,185,245","12,283,779","33,811,909","6,762,381","6,286,146","12,572,292","4,905,408","19,621,632","72,267,770","722,677,700","66,446,373","1,328,927,460"
563754,husita,[DoS]Dawn of Spartans,"81,827,006","461,318,262","112,307,255","17,497,934","1,335,321","267,064","261,699","523,398","163,190","652,760","14,533,822","145,338,220","15,726,841","314,536,820"
10465093,Ts Skxll,[DoS]Dawn of Spartans,"81,439,044","289,437,033","82,133,416","7,922,758","3,434,809","686,961","534,440","1,068,880","545,603","2,182,412","9,527,090","95,270,900","9,511,394","190,227,880"
39667032,Tobias Justin,[DoS]Dawn of Spartans,"81,333,541","1,171,560,229","88,148,686","12,998,535","2,176,179","435,235","1,333,847","2,667,694","1,425,545","5,702,180","38,528,430","385,284,300","38,873,541","777,470,820"
61608078,Roxanna Rosee,[DOOm]DOOMsquad,"79,062,252","958,804,531","79,063,472","9,585,820","124,119","624,823","2,036,990","4,073,980","4,536,152","18,144,608","42,982,518","429,825,180","25,306,797","506,135,940"
373404,ALEXANDR VELIK',[DoS]Dawn of Spartans,"77,889,194","251,987,148","85,018,179","13,772,861","644,470","128,894","572,865","1,145,730","718,176","2,872,704","9,752,588","97,525,880","7,515,697","150,313,940"
115512421,Govern Xo,[DoS]Dawn of Spartans,"75,139,675","761,993,918","75,139,675","8,130,868","9,667,413","1,933,482","3,679,066","7,358,132","2,827,766","11,311,064","33,046,092","330,460,920","20,546,516","410,930,320"
74662185,SANTO 007,[DoS]Dawn of Spartans,"73,803,315","685,357,778","75,249,984","20,020,955","2,197,543","439,508","2,237,631","4,475,262","770,317","35,081,268","38,701,132","387,011,320","12,917,521","258,350,420"
377047,TheGamer,[DoS]Dawn of Spartans,"73,501,088","932,510,558","73,501,088","11,214,986","41,698,934","8,339,786","176,791","353,582","62,450","249,800","24,742,479","247,424,790","33,807,130","676,142,600"
18139223,Titybump,[DoS]Dawn of Spartans,"73,249,836","517,760,007","77,452,748","14,136,122","1,685,745","337,149","537,940","1,075,880","476,952","1,907,808","20,156,167","201,561,670","15,643,875","312,877,500"
68725261,KR Binyo 69,[DoS]Dawn of Spartans,"71,220,178","605,228,613","71,227,116","9,455,048","674,989","134,997","88,798","177,596","148,260","593,040","18,028,436","180,284,360","21,201,931","424,038,620"
91192129,HITMAN ¥,[DoS]Dawn of Spartans,"70,787,824","445,387,019","70,796,784","8,582,915","16,026,248","3,205,249","2,141,736","4,283,472","1,280,272","5,121,088","115,964,407","159,644,070","13,656,657","273,133,140"
64090333,Naji Haddad,[DoS]Dawn of Spartans,"69,572,624","136,369,622","73,172,717","15,913,986","89,252","17,850","103,044","206,088","540,051","2,160,204","5,043,440","50,434,400","4,177,554","83,551,080"
50446293,TorisS,[DoS]Dawn of Spartans,"69,422,323","169,462,743","76,010,712","13,094,004","128,067","25,613","153,487","306,974","21,879","87,516","4,139,812","41,398,120","6,382,226","127,644,520"
54092714,LegionsNeverDie,[DA7]ReddDevils,"66,405,684","185,107,766","79,117,875","6,559,774","827,070","165,414","1,865,328","3,730,656","013,744","12,054,976","8,038,304","80,383,040","4,438,684","88,773,680"
85331953,danttee,[DoS]Dawn of Spartans,"65,184,161","71,603,607","65,184,161","3,003,117","106,856","21,371","587,653","1,175,306","325,125","1,300,500","3,234,519","32,345,190","1,838,062","36,761,240"
72847287,Dre-lron DX,[DoS]Dawn of Spartans,"64,630,549","163,399,233","75,186,785","9,040,036","181,616","16,323","53,067","106,134","35,749","142,996","8,061,730","80,617,300","4,125,824","82,516,480"
